Jersey Name,Full Name,Jersey Number,Position,Age,Weight (kg),Height (m),PPG (Points),RPG (Rebounds),APG (Assists),BPG (Blocks),SPG (Steals),EFF (Efficiency),Photo URL,Source URL
Arnas,Arnas Velicka,#8,PG,25,91,1.95,12.8,3.5,5.5,0.3,1.3,13.5,https://api.basketball-bundesliga.de/images/player/portrait/2024/2000815,https://www.easycredit-bbl.de/spieler/2000815
Barra,Barra Njie,#13,PG,24,87,1.91,0.0,2.1,4.1,0.4,0.6,9.4,https://api.basketball-bundesliga.de/images/player/portrait/2025/57693,https://www.easycredit-bbl.de/spieler/57693
Gian,Gian Bahattin Aydinoglu,#4,PG,22,80,1.89,1.1,0.2,0.1,0.0,0.1,0.7,https://api.basketball-bundesliga.de/images/player/portrait/2024/56590,https://www.easycredit-bbl.de/spieler/56590
TJ,TJ Crockett Jr.,#1,SG,26,84,1.87,12.0,2.4,1.6,0.0,0.8,9.8,https://api.basketball-bundesliga.de/images/player/portrait/2024/56766,https://www.easycredit-bbl.de/spieler/56766
FERDI,Ferdinand Zylka,#6,SG,27,94,1.91,9.3,2.3,1.8,0.2,0.7,7.8,https://api.basketball-bundesliga.de/images/player/portrait/2025/56763,https://www.easycredit-bbl.de/spieler/56763
NICHO,Nicholas Tischler,#33,SF,25,97,2.02,6.0,1.7,0.4,0.1,1.0,4.6,https://api.basketball-bundesliga.de/images/player/portrait/2024/2001100,https://www.easycredit-bbl.de/spieler/2001100
BRANDON,Brandon Tischler,#13,SF,25,94,2.01,6.7,4.5,1.2,0.3,1.3,6.0,https://api.basketball-bundesliga.de/images/player/portrait/2022/52465,https://www.easycredit-bbl.de/spieler/52465
SYLLA,Amar Sylla,#43,PF,24,86,2.06,4.6,4.8,0.5,0.5,0.5,7.3,https://api.basketball-bundesliga.de/images/player/portrait/2023/57432,https://www.easycredit-bbl.de/spieler/57432
SANY,Sananda Fru,#10,PF,22,112,2.09,12.4,6.7,0.7,1.7,0.8,17.6,https://api.basketball-bundesliga.de/images/player/portrait/2022/52435,https://www.easycredit-bbl.de/spieler/52435
BANGO,Jilson Bango,#8,C,26,102,2.08,13.5,7.1,1.0,1.6,0.5,18.3,https://api.basketball-bundesliga.de/images/player/portrait/2023/56601,https://www.easycredit-bbl.de/spieler/56601
MARTIN,Martin Kalu,#23,SG,20,95,1.98,2.9,1.8,0.2,0.1,0.5,3.3,https://api.basketball-bundesliga.de/images/player/portrait/2024/2000819,https://www.easycredit-bbl.de/spieler/2000819
MERT,Sinan Mertcan Gerhardt,#30,PF,23,103,2.06,0.0,0.0,0.0,0.0,0.0,0.5,https://api.basketball-bundesliga.de/images/player/portrait/2022/52589,https://www.easycredit-bbl.de/spieler/52589
ROMARIO,Romario Holloway,#11,PF,20,95,2.03,0.0,2.0,0.6,0.4,0.8,4.2,https://api.basketball-bundesliga.de/images/player/portrait/2025/58158,https://www.easycredit-bbl.de/spieler/58158
JAMIL,Jamil Hyangho,#2,PG,22,76,1.85,0.0,0.0,0.0,0.0,0.0,0.0,https://api.basketball-bundesliga.de/images/player/portrait/2022/55589,https://www.easycredit-bbl.de/spieler/55589
TOMIC,Nikola Tomic,#7,SG,20,78,1.95,0.0,0.5,0.0,0.0,0.0,0.5,https://api.basketball-bundesliga.de/images/player/portrait/2025/2001290,https://www.easycredit-bbl.de/spieler/2001290
